"agent","mime_type","fecha_sent","hora_sent","mensajes_enviados","mensajes_leidos","mensajes_fallidos","mensajes_facturables"
bot,,"2026-07-01","00",480,208,50,375
bot,,"2026-07-01","01",288,139,0,212
bot,,"2026-07-01","02",176,86,0,117
bot,,"2026-07-01","03",137,43,2,123
bot,,"2026-07-01","04",117,34,0,102
bot,,"2026-07-01","05",106,40,1,83
bot,,"2026-07-01","06",59,34,0,38
bot,,"2026-07-01","07",43,29,0,27
bot,,"2026-07-01","08",41,25,0,18
bot,,"2026-07-01","09",18,10,0,9
bot,,"2026-07-01","10",37,35,0,7
bot,,"2026-07-01","11",96,90,55,10
bot,,"2026-07-01","12",78,62,1,25
bot,,"2026-07-01","13",1546,1485,1409,78
bot,,"2026-07-01","14",2806,2470,2262,478
bot,,"2026-07-01","15",674,525,441,181
bot,,"2026-07-01","16",2553,1577,732,1769
bot,,"2026-07-01","17",1173,794,528,576
bot,,"2026-07-01","18",45933,39711,25876,19690
bot,,"2026-07-01","19",80112,68914,44791,34625
bot,,"2026-07-01","20",17131,14644,9245,7741
bot,,"2026-07-01","21",39627,30101,19367,19917
bot,,"2026-07-01","22",71529,56283,40138,30886
bot,,"2026-07-01","23",34419,27374,18949,15143
bot,,"2026-07-02","00",8634,6815,5209,3263
bot,,"2026-07-02","01",269,135,0,166
bot,,"2026-07-02","02",822,652,345,431
bot,,"2026-07-02","03",113,43,0,91
bot,,"2026-07-02","04",152,93,48,81
bot,,"2026-07-02","05",56,21,2,45
bot,,"2026-07-02","06",46,11,0,41
bot,,"2026-07-02","07",45,26,0,21
bot,,"2026-07-02","08",23,20,0,6
bot,,"2026-07-02","09",23,14,0,11
bot,,"2026-07-02","10",25,22,0,4
bot,,"2026-07-02","11",453,439,417,16
bot,,"2026-07-02","12",1885,1855,1800,31
bot,,"2026-07-02","13",114,48,0,77
bot,,"2026-07-02","14",555,230,0,507
bot,,"2026-07-02","15",679,570,448,171
bot,,"2026-07-02","16",19203,15776,9614,9465
bot,,"2026-07-02","17",67623,59517,37612,29668
bot,,"2026-07-02","18",21627,20075,13916,7498
bot,,"2026-07-02","19",19778,13755,8975,10612
bot,,"2026-07-02","20",50573,42294,27965,22094
bot,,"2026-07-02","21",27492,22364,15564,11584
bot,,"2026-07-02","22",59975,50183,32388,27224
bot,,"2026-07-02","23",40952,33468,20467,20181
bot,,"2026-07-03","00",22367,18617,11740,10473
bot,,"2026-07-03","01",388,232,76,261
bot,,"2026-07-03","02",201,60,0,180
bot,,"2026-07-03","03",152,51,0,121
bot,,"2026-07-03","04",141,46,3,109
bot,,"2026-07-03","05",98,44,0,75
bot,,"2026-07-03","06",67,33,0,41
bot,,"2026-07-03","07",51,38,0,15
bot,,"2026-07-03","08",42,33,0,10
bot,,"2026-07-03","09",27,22,0,5
bot,,"2026-07-03","10",128,118,78,17
bot,,"2026-07-03","11",43,33,0,17
bot,,"2026-07-03","12",94,68,0,37
bot,,"2026-07-03","13",906,854,774,76
bot,,"2026-07-03","14",1952,837,211,1693
bot,,"2026-07-03","15",10034,7395,4986,4971
bot,,"2026-07-03","16",506,196,1,420
bot,,"2026-07-03","17",2700,713,81,2568
bot,,"2026-07-03","18",26541,23313,15473,10923
bot,,"2026-07-03","19",20785,17056,10739,9893
bot,,"2026-07-03","20",116107,99574,62612,52943
bot,,"2026-07-03","21",25503,19811,12888,12390
bot,,"2026-07-03","22",19866,15421,10111,9536
bot,,"2026-07-03","23",15155,12331,8503,6486
bot,,"2026-07-04","00",7700,6393,4869,2750
bot,,"2026-07-04","01",233,98,0,200
bot,,"2026-07-04","02",585,353,200,352
bot,,"2026-07-04","03",111,47,0,85
bot,,"2026-07-04","04",90,56,0,49
bot,,"2026-07-04","05",55,25,0,41
bot,,"2026-07-04","06",27,12,0,21
bot,,"2026-07-04","07",26,10,0,18
bot,,"2026-07-04","08",210,202,0,8
bot,,"2026-07-04","09",20,13,0,9
bot,,"2026-07-04","10",34,31,0,3
bot,,"2026-07-04","11",1954,1949,1927,5
bot,,"2026-07-04","12",1560,1551,1518,16
bot,,"2026-07-04","13",3109,3072,2974,56
bot,,"2026-07-04","14",2375,1933,1559,752
bot,,"2026-07-04","15",48582,41643,33696,14599
bot,,"2026-07-04","16",111677,95611,62931,48230
bot,,"2026-07-04","17",34866,29272,20070,14434
bot,,"2026-07-04","18",38313,32101,22737,15294
bot,,"2026-07-04","19",22961,19433,13559,9173
bot,,"2026-07-04","20",25222,19320,11806,13218
bot,,"2026-07-04","21",17799,14722,10034,7618
bot,,"2026-07-04","22",17851,14821,10009,7597
bot,,"2026-07-04","23",22668,19024,13435,9066
bot,,"2026-07-05","00",11462,9563,6747,4605
bot,,"2026-07-05","01",110,57,0,70
bot,,"2026-07-05","02",56,31,0,37
bot,,"2026-07-05","03",61,30,0,45
bot,,"2026-07-05","04",50,20,0,34
bot,,"2026-07-05","05",59,35,0,34
bot,,"2026-07-05","06",72,55,0,22
bot,,"2026-07-05","07",22,20,0,3
bot,,"2026-07-05","08",9,6,0,3
bot,,"2026-07-05","09",6,5,0,1
bot,,"2026-07-05","10",9,6,0,3
bot,,"2026-07-05","11",16,15,0,2
bot,,"2026-07-05","12",26,17,0,9
bot,,"2026-07-05","13",53,38,0,19
bot,,"2026-07-05","14",114,77,0,55
bot,,"2026-07-05","15",119,59,22,65
bot,,"2026-07-05","16",131,46,0,107
bot,,"2026-07-05","17",162,77,0,114
bot,,"2026-07-05","18",2574,596,8,2534
bot,,"2026-07-05","19",239,100,0,167
bot,,"2026-07-05","20",1239,785,395,826
bot,,"2026-07-05","21",333,141,1,258
bot,,"2026-07-05","22",7182,4608,1840,5247
bot,,"2026-07-05","23",103,59,0,53
bot,,"2026-07-06","00",78,47,0,41
bot,,"2026-07-06","01",74,42,0,37
bot,,"2026-07-06","02",55,35,0,23
bot,,"2026-07-06","03",35,6,0,32
bot,,"2026-07-06","04",82,42,0,53
bot,,"2026-07-06","05",31,11,0,24
bot,,"2026-07-06","06",37,21,0,20
bot,,"2026-07-06","07",7,6,0,4
bot,,"2026-07-06","08",18,13,0,7
bot,,"2026-07-06","09",19,17,0,2
bot,,"2026-07-06","10",55,52,38,3
bot,,"2026-07-06","11",401,396,374,6
bot,,"2026-07-06","12",45,35,0,12
bot,,"2026-07-06","13",130,95,0,48
bot,,"2026-07-06","14",487,233,0,420
bot,,"2026-07-06","15",2475,2193,1609,817
bot,,"2026-07-06","16",13738,10859,6042,7568
bot,,"2026-07-06","17",1674,1200,947,634
bot,,"2026-07-06","18",468,145,0,388
bot,,"2026-07-06","19",22200,17223,11338,10656
bot,,"2026-07-06","20",31490,27689,17098,14266
bot,,"2026-07-06","21",59887,52283,31506,28114
bot,,"2026-07-06","22",30042,25742,15455,14360
bot,,"2026-07-06","23",6927,5432,3260,3533
bot,,"2026-07-07","00",6817,5387,3382,3337
bot,,"2026-07-07","01",201,81,0,154
bot,,"2026-07-07","02",117,39,2,91
bot,,"2026-07-07","03",73,29,0,59
bot,,"2026-07-07","04",48,13,0,44
bot,,"2026-07-07","05",60,27,0,40
bot,,"2026-07-07","06",65,24,0,47
bot,,"2026-07-07","07",28,13,0,17
bot,,"2026-07-07","08",15,11,0,7
bot,,"2026-07-07","09",16,13,0,8
bot,,"2026-07-07","10",29,25,0,4
bot,,"2026-07-07","11",52,47,34,7
bot,,"2026-07-07","12",80,68,27,15
bot,,"2026-07-07","13",169,118,5,61
bot,,"2026-07-07","14",213,108,0,154
bot,,"2026-07-07","15",321,141,0,269
bot,,"2026-07-07","16",2386,1680,744,1544
bot,,"2026-07-07","17",5554,4400,3464,2000
bot,,"2026-07-07","18",15275,13022,9750,5384
bot,,"2026-07-07","19",8488,7381,5405,2966
bot,,"2026-07-07","20",1053,604,120,858
bot,,"2026-07-07","21",22612,18906,12559,9893
bot,,"2026-07-07","22",47757,38918,25314,21629
bot,,"2026-07-07","23",32551,26832,17567,14698
bot,,"2026-07-08","00",83612,68809,51002,32082
bot,,"2026-07-08","01",21831,19307,15698,5525
bot,,"2026-07-08","02",222,84,1,163
bot,,"2026-07-08","03",125,34,1,105
bot,,"2026-07-08","04",73,38,2,54
bot,,"2026-07-08","05",60,27,0,40
bot,,"2026-07-08","06",37,17,0,26
bot,,"2026-07-08","07",33,23,0,11
bot,,"2026-07-08","08",19,13,1,11
bot,,"2026-07-08","09",15,15,4,1
bot,,"2026-07-08","10",57,54,47,5
bot,,"2026-07-08","11",739,733,701,8
bot,,"2026-07-08","12",4241,4225,4177,17
bot,,"2026-07-08","13",1840,1815,1762,42
bot,,"2026-07-08","14",1439,1098,820,577
bot,,"2026-07-08","15",1773,1314,671,1061
bot,,"2026-07-08","16",20501,17199,10066,10299
bot,,"2026-07-08","17",131879,115315,66197,65076
bot,,"2026-07-08","18",63220,55453,31741,31165
bot,,"2026-07-08","19",36392,31455,19507,16697
bot,,"2026-07-08","20",5623,5320,5145,403
bot,,"2026-07-08","21",2642,1408,514,2060
bot,,"2026-07-08","22",566,197,26,471
bot,,"2026-07-08","23",2495,2024,1443,1012
bot,,"2026-07-09","00",41702,32863,23042,18400
bot,,"2026-07-09","01",43127,35357,25256,17488
bot,,"2026-07-09","02",376,131,2,326
bot,,"2026-07-09","03",343,108,0,295
bot,,"2026-07-09","04",163,47,0,157
bot,,"2026-07-09","05",97,27,0,88
bot,,"2026-07-09","06",64,25,0,54
bot,,"2026-07-09","07",43,15,0,40
bot,,"2026-07-09","08",38,25,0,14
bot,,"2026-07-09","09",22,15,0,7
bot,,"2026-07-09","10",7,4,0,3
bot,,"2026-07-09","11",69,55,47,15
bot,,"2026-07-09","12",56,34,3,24
bot,,"2026-07-09","13",150,91,38,70
bot,,"2026-07-09","14",11702,11619,11552,124
bot,,"2026-07-09","15",19470,17656,15280,4086
bot,,"2026-07-09","16",71837,59294,43920,27472
bot,,"2026-07-09","17",5424,4610,3997,1363
bot,,"2026-07-09","18",4788,4342,4062,637
bot,,"2026-07-09","19",63322,53457,28578,34029
bot,,"2026-07-09","20",59046,49270,24004,34344
bot,,"2026-07-09","21",19576,15608,9745,9644
bot,,"2026-07-09","22",26284,19983,9293,16691
bot,,"2026-07-09","23",21039,18276,11715,9090
bot,,"2026-07-10","00",65765,50846,32204,33090
bot,,"2026-07-10","01",784,245,4,708
bot,,"2026-07-10","02",234,81,0,193
bot,,"2026-07-10","03",180,81,0,124
bot,,"2026-07-10","04",154,83,0,90
bot,,"2026-07-10","05",52,29,0,30
bot,,"2026-07-10","06",61,40,0,31
bot,,"2026-07-10","07",23,11,0,16
bot,,"2026-07-10","08",30,21,0,12
bot,,"2026-07-10","09",18,13,0,5
bot,,"2026-07-10","10",12,5,0,8
bot,,"2026-07-10","11",5644,5628,5609,18
bot,,"2026-07-10","12",6598,6584,6545,18
bot,,"2026-07-10","13",1116,1036,987,92
bot,,"2026-07-10","14",6729,6388,6171,520
bot,,"2026-07-10","15",16314,16150,16000,228
bot,,"2026-07-10","16",43659,34529,19291,23911
bot,,"2026-07-10","17",24961,21721,10888,13652
